"erkrankungen";"hospitalisiert";"intensivstation";"date"
3018;102;15;2020-03-22 00:00:00
3018;102;15;2020-03-22 00:15:00
3018;102;15;2020-03-22 00:30:00
3018;102;15;2020-03-22 00:45:00
3021;102;15;2020-03-22 01:00:00
3021;102;15;2020-03-22 01:15:00
3021;102;15;2020-03-22 01:30:00
3021;102;15;2020-03-22 01:45:00
3021;102;15;2020-03-22 02:00:00
3021;102;15;2020-03-22 02:15:00
3021;102;15;2020-03-22 02:30:00
3021;102;15;2020-03-22 02:45:00
3021;102;15;2020-03-22 03:00:00
3021;102;15;2020-03-22 03:15:00
3024;102;15;2020-03-22 03:30:00
3024;102;15;2020-03-22 03:45:00
3024;102;15;2020-03-22 04:00:00
3024;102;15;2020-03-22 04:15:00
3024;102;15;2020-03-22 04:30:00
3024;102;15;2020-03-22 04:45:00
3024;102;15;2020-03-22 05:00:00
3024;102;15;2020-03-22 05:15:00
3024;102;15;2020-03-22 05:30:00
3024;102;15;2020-03-22 05:45:00
3024;102;15;2020-03-22 06:00:00
3024;102;15;2020-03-22 06:15:00
3024;102;15;2020-03-22 06:30:00
3024;102;15;2020-03-22 06:45:00
3024;102;15;2020-03-22 07:00:00
3024;102;15;2020-03-22 07:15:00
3026;102;15;2020-03-22 07:30:00
3027;102;15;2020-03-22 07:45:00
3027;102;15;2020-03-22 08:00:00
3028;102;15;2020-03-22 08:15:00
3028;102;15;2020-03-22 08:30:00
3029;102;15;2020-03-22 08:45:00
3037;102;15;2020-03-22 09:00:00
3047;102;15;2020-03-22 09:15:00
3062;103;15;2020-03-22 09:30:00
3070;103;15;2020-03-22 09:45:00
3078;104;15;2020-03-22 10:00:00
3119;104;15;2020-03-22 10:15:00
3122;104;15;2020-03-22 10:30:00
3123;105;15;2020-03-22 10:45:00
3123;105;15;2020-03-22 11:00:00
3123;105;15;2020-03-22 11:15:00
3125;105;15;2020-03-22 11:30:00
3143;105;15;2020-03-22 11:45:00
3151;105;15;2020-03-22 12:00:00
3164;105;15;2020-03-22 12:15:00
3170;105;15;2020-03-22 12:30:00
3173;105;15;2020-03-22 12:45:00
3181;105;15;2020-03-22 13:00:00
3195;105;15;2020-03-22 13:15:00
3208;105;15;2020-03-22 13:30:00
3214;105;15;2020-03-22 13:45:00
3220;105;15;2020-03-22 14:00:00
3243;105;15;2020-03-22 14:15:00
3244;105;15;2020-03-22 14:30:00
3252;105;15;2020-03-22 14:45:00
3269;105;15;2020-03-22 15:00:00
3282;105;15;2020-03-22 15:15:00
3285;106;15;2020-03-22 15:30:00
3288;107;15;2020-03-22 15:45:00
3302;107;15;2020-03-22 16:00:00
3360;107;15;2020-03-22 16:15:00
3373;108;15;2020-03-22 16:30:00
3375;108;15;2020-03-22 16:45:00
3376;108;15;2020-03-22 17:00:00
3394;108;15;2020-03-22 17:15:00
3399;108;15;2020-03-22 17:30:00
3407;108;15;2020-03-22 17:45:00
3415;108;15;2020-03-22 18:00:00
3435;108;15;2020-03-22 18:15:00
3435;108;15;2020-03-22 18:30:00
3449;108;15;2020-03-22 18:45:00
3450;108;15;2020-03-22 19:00:00
3456;108;15;2020-03-22 19:15:00
3472;109;15;2020-03-22 19:30:00
3497;109;15;2020-03-22 19:45:00
3518;109;15;2020-03-22 20:00:00
3558;109;15;2020-03-22 20:15:00
3558;109;15;2020-03-22 20:30:00
3559;109;15;2020-03-22 20:45:00
3561;109;15;2020-03-22 21:00:00
3564;109;15;2020-03-22 21:15:00
3567;109;15;2020-03-22 21:30:00
3570;109;15;2020-03-22 21:45:00
3570;109;15;2020-03-22 22:00:00
3580;109;15;2020-03-22 22:15:00
3582;109;15;2020-03-22 22:30:00
3582;109;15;2020-03-22 22:45:00
3582;109;15;2020-03-22 23:00:00
3582;109;15;2020-03-22 23:15:00
3582;109;15;2020-03-22 23:30:00
3582;109;15;2020-03-22 23:45:00
