"erkrankungen";"hospitalisiert";"intensivstation";"date"
3582;109;15;2020-03-23 00:00:00
3582;109;15;2020-03-23 00:15:00
3582;109;15;2020-03-23 00:30:00
3582;109;15;2020-03-23 00:45:00
3582;109;15;2020-03-23 01:00:00
3582;109;15;2020-03-23 01:15:00
3582;109;15;2020-03-23 01:30:00
3582;109;15;2020-03-23 01:45:00
3582;109;15;2020-03-23 02:00:00
3582;109;15;2020-03-23 02:15:00
3582;109;15;2020-03-23 02:30:00
3582;109;15;2020-03-23 02:45:00
3582;109;15;2020-03-23 03:00:00
3583;109;15;2020-03-23 03:15:00
3584;109;15;2020-03-23 03:30:00
3584;109;15;2020-03-23 03:45:00
3584;109;15;2020-03-23 04:00:00
3584;109;15;2020-03-23 04:15:00
3584;109;15;2020-03-23 04:30:00
3584;109;15;2020-03-23 04:45:00
3584;109;15;2020-03-23 05:00:00
3584;109;15;2020-03-23 05:15:00
3584;109;15;2020-03-23 05:30:00
3584;109;15;2020-03-23 05:45:00
3584;109;15;2020-03-23 06:00:00
3584;109;15;2020-03-23 06:15:00
3584;109;15;2020-03-23 06:30:00
3584;110;15;2020-03-23 06:45:00
3586;110;15;2020-03-23 07:00:00
3591;110;15;2020-03-23 07:15:00
3602;110;15;2020-03-23 07:30:00
3603;110;15;2020-03-23 07:45:00
3611;111;16;2020-03-23 08:00:00
3619;112;16;2020-03-23 08:15:00
3627;113;16;2020-03-23 08:30:00
3630;113;16;2020-03-23 08:45:00
3631;113;16;2020-03-23 09:00:00
3631;113;16;2020-03-23 09:15:00
3637;113;16;2020-03-23 09:30:00
3644;113;16;2020-03-23 09:45:00
3643;113;16;2020-03-23 10:00:00
3646;114;16;2020-03-23 10:15:00
3663;114;16;2020-03-23 10:30:00
3669;111;14;2020-03-23 10:45:00
3679;108;13;2020-03-23 11:00:00
3695;109;13;2020-03-23 11:15:00
3698;109;13;2020-03-23 11:30:00
3723;111;14;2020-03-23 11:45:00
3759;112;14;2020-03-23 12:00:00
3773;112;14;2020-03-23 12:15:00
3784;114;14;2020-03-23 12:30:00
3806;115;14;2020-03-23 12:45:00
3828;116;14;2020-03-23 13:00:00
3838;117;14;2020-03-23 13:15:00
3848;118;14;2020-03-23 13:30:00
3865;118;14;2020-03-23 13:45:00
3892;124;14;2020-03-23 14:00:00
3923;128;14;2020-03-23 14:15:00
3924;129;14;2020-03-23 14:30:00
3927;129;14;2020-03-23 14:45:00
3943;130;14;2020-03-23 15:00:00
3967;130;14;2020-03-23 15:15:00
3977;130;14;2020-03-23 15:30:00
3994;131;14;2020-03-23 15:45:00
4018;130;14;2020-03-23 16:00:00
4042;131;14;2020-03-23 16:15:00
4057;132;15;2020-03-23 16:30:00
4075;132;15;2020-03-23 16:45:00
4097;132;15;2020-03-23 17:00:00
4296;139;15;2020-03-23 17:15:00
4306;140;15;2020-03-23 17:30:00
4335;141;15;2020-03-23 17:45:00
4346;141;15;2020-03-23 18:00:00
4374;143;15;2020-03-23 18:15:00
4376;143;15;2020-03-23 18:30:00
4396;145;15;2020-03-23 18:45:00
4426;145;15;2020-03-23 19:00:00
4436;146;15;2020-03-23 19:15:00
4439;147;16;2020-03-23 19:30:00
4447;147;16;2020-03-23 19:45:00
4453;147;16;2020-03-23 20:00:00
4465;147;16;2020-03-23 20:15:00
4468;147;16;2020-03-23 20:30:00
4476;147;16;2020-03-23 20:45:00
4478;147;16;2020-03-23 21:00:00
4477;147;16;2020-03-23 21:15:00
4473;147;16;2020-03-23 21:30:00
4472;147;16;2020-03-23 21:45:00
4474;147;16;2020-03-23 22:00:00
4474;147;16;2020-03-23 22:15:00
4474;148;16;2020-03-23 22:30:00
4474;148;16;2020-03-23 22:45:00
4474;148;16;2020-03-23 23:00:00
4474;149;16;2020-03-23 23:15:00
4474;150;16;2020-03-23 23:30:00
4474;150;16;2020-03-23 23:45:00
