"erkrankungen","hospitalisiert","intensivstation","nr_tests","date"
5264,211,24,NA,2020-03-25 00:00:00
5264,211,24,NA,2020-03-25 00:15:00
5264,211,24,NA,2020-03-25 00:30:00
5264,211,24,NA,2020-03-25 00:45:00
5264,211,24,NA,2020-03-25 01:00:00
5264,211,24,NA,2020-03-25 01:15:00
5264,211,24,NA,2020-03-25 01:30:00
5264,211,24,NA,2020-03-25 01:45:00
5264,211,24,NA,2020-03-25 02:00:00
5264,211,24,NA,2020-03-25 02:15:00
5264,211,24,NA,2020-03-25 02:30:00
5264,211,24,NA,2020-03-25 02:45:00
5264,211,24,NA,2020-03-25 03:00:00
5264,211,24,NA,2020-03-25 03:15:00
5264,211,24,NA,2020-03-25 03:30:00
5264,211,24,NA,2020-03-25 03:45:00
5264,211,24,NA,2020-03-25 04:00:00
5264,211,24,NA,2020-03-25 04:15:00
5264,211,24,NA,2020-03-25 04:30:00
5264,211,24,NA,2020-03-25 04:45:00
5264,211,24,NA,2020-03-25 05:00:00
5264,211,24,NA,2020-03-25 05:15:00
5264,211,24,NA,2020-03-25 05:30:00
5264,211,24,NA,2020-03-25 05:45:00
5264,211,24,NA,2020-03-25 06:00:00
5264,211,24,NA,2020-03-25 06:15:00
5265,211,24,NA,2020-03-25 06:30:00
5265,211,24,NA,2020-03-25 06:45:00
5265,211,24,NA,2020-03-25 07:00:00
5266,212,26,NA,2020-03-25 07:15:00
5269,213,26,NA,2020-03-25 07:30:00
5273,213,26,NA,2020-03-25 07:45:00
5282,213,26,NA,2020-03-25 08:00:00
5288,214,26,NA,2020-03-25 08:15:00
5315,219,26,NA,2020-03-25 08:30:00
5368,223,26,NA,2020-03-25 08:45:00
5394,227,26,NA,2020-03-25 09:00:00
5418,227,26,NA,2020-03-25 09:15:00
5427,227,26,NA,2020-03-25 09:30:00
5448,227,26,NA,2020-03-25 09:45:00
5462,227,26,NA,2020-03-25 10:00:00
5469,227,26,NA,2020-03-25 10:15:00
5480,225,26,NA,2020-03-25 10:30:00
5485,226,26,NA,2020-03-25 10:45:00
5485,228,26,NA,2020-03-25 11:00:00
5494,229,26,NA,2020-03-25 11:15:00
5495,231,26,NA,2020-03-25 11:30:00
5496,231,26,NA,2020-03-25 11:45:00
5499,231,26,NA,2020-03-25 12:00:00
5495,233,26,NA,2020-03-25 12:15:00
5510,234,26,NA,2020-03-25 12:30:00
5512,235,26,NA,2020-03-25 12:45:00
5513,236,26,NA,2020-03-25 13:00:00
5514,237,26,NA,2020-03-25 13:15:00
5513,238,26,NA,2020-03-25 13:30:00
5516,237,26,NA,2020-03-25 13:45:00
5519,240,27,NA,2020-03-25 14:00:00
5526,242,27,NA,2020-03-25 14:15:00
5560,242,28,NA,2020-03-25 14:30:00
5577,244,28,NA,2020-03-25 14:45:00
5588,247,28,NA,2020-03-25 15:00:00
5592,249,28,NA,2020-03-25 15:15:00
5606,250,28,NA,2020-03-25 15:30:00
