"erkrankungen","hospitalisiert","intensivstation","nr_tests","date"
6909,547,96,NA,2020-03-27 00:00:00
6909,547,96,NA,2020-03-27 01:00:00
6909,547,96,NA,2020-03-27 02:00:00
6909,547,96,NA,2020-03-27 03:00:00
6909,547,96,NA,2020-03-27 04:00:00
6909,547,96,NA,2020-03-27 05:00:00
6909,547,96,NA,2020-03-27 06:00:00
6917,547,96,NA,2020-03-27 07:00:00
6962,547,96,NA,2020-03-27 08:00:00
7029,702,110,NA,2020-03-27 09:00:00
7129,702,110,NA,2020-03-27 10:00:00
7196,672,128,NA,2020-03-27 11:00:00
7269,672,128,NA,2020-03-27 12:00:00
7317,672,128,NA,2020-03-27 13:00:00
7393,672,128,NA,2020-03-27 14:00:00
7441,672,128,NA,2020-03-27 15:00:00
7500,672,128,NA,2020-03-27 16:00:00
7557,672,128,NA,2020-03-27 17:00:00
7610,672,128,NA,2020-03-27 18:00:00
7642,672,128,NA,2020-03-27 19:00:00
7657,672,128,NA,2020-03-27 20:00:00
7672,672,128,NA,2020-03-27 21:00:00
7672,672,128,NA,2020-03-27 22:00:00
7688,672,128,NA,2020-03-27 23:00:00
