"nuts2";"freq";"date"
1;171;2020-03-30 00:00:00
2;245;2020-03-30 00:00:00
3;1379;2020-03-30 00:00:00
4;1509;2020-03-30 00:00:00
5;849;2020-03-30 00:00:00
6;929;2020-03-30 00:00:00
7;2002;2020-03-30 00:00:00
8;601;2020-03-30 00:00:00
9;1103;2020-03-30 00:00:00
1;171;2020-03-30 01:00:00
2;245;2020-03-30 01:00:00
3;1379;2020-03-30 01:00:00
4;1509;2020-03-30 01:00:00
5;849;2020-03-30 01:00:00
6;929;2020-03-30 01:00:00
7;2002;2020-03-30 01:00:00
8;601;2020-03-30 01:00:00
9;1103;2020-03-30 01:00:00
1;171;2020-03-30 02:00:00
2;245;2020-03-30 02:00:00
3;1379;2020-03-30 02:00:00
4;1509;2020-03-30 02:00:00
5;849;2020-03-30 02:00:00
6;929;2020-03-30 02:00:00
7;2002;2020-03-30 02:00:00
8;601;2020-03-30 02:00:00
9;1103;2020-03-30 02:00:00
1;171;2020-03-30 03:00:00
2;245;2020-03-30 03:00:00
3;1379;2020-03-30 03:00:00
4;1509;2020-03-30 03:00:00
5;849;2020-03-30 03:00:00
6;929;2020-03-30 03:00:00
7;2002;2020-03-30 03:00:00
8;601;2020-03-30 03:00:00
9;1103;2020-03-30 03:00:00
1;171;2020-03-30 04:00:00
2;245;2020-03-30 04:00:00
3;1379;2020-03-30 04:00:00
4;1509;2020-03-30 04:00:00
5;849;2020-03-30 04:00:00
6;929;2020-03-30 04:00:00
7;2002;2020-03-30 04:00:00
8;601;2020-03-30 04:00:00
9;1103;2020-03-30 04:00:00
1;171;2020-03-30 05:00:00
2;245;2020-03-30 05:00:00
3;1379;2020-03-30 05:00:00
4;1509;2020-03-30 05:00:00
5;849;2020-03-30 05:00:00
6;929;2020-03-30 05:00:00
7;2002;2020-03-30 05:00:00
8;601;2020-03-30 05:00:00
9;1103;2020-03-30 05:00:00
1;171;2020-03-30 06:00:00
2;245;2020-03-30 06:00:00
3;1379;2020-03-30 06:00:00
4;1509;2020-03-30 06:00:00
5;849;2020-03-30 06:00:00
6;929;2020-03-30 06:00:00
7;2002;2020-03-30 06:00:00
8;601;2020-03-30 06:00:00
9;1103;2020-03-30 06:00:00
1;171;2020-03-30 07:00:00
2;245;2020-03-30 07:00:00
