"bkz";"freq";"date"
101;11;2020-03-31 00:00:00
103;12;2020-03-31 00:00:00
104;10;2020-03-31 00:00:00
105;7;2020-03-31 00:00:00
106;22;2020-03-31 00:00:00
107;44;2020-03-31 00:00:00
108;14;2020-03-31 00:00:00
109;61;2020-03-31 00:00:00
201;51;2020-03-31 00:00:00
202;15;2020-03-31 00:00:00
203;1;2020-03-31 00:00:00
204;32;2020-03-31 00:00:00
205;33;2020-03-31 00:00:00
206;24;2020-03-31 00:00:00
207;32;2020-03-31 00:00:00
208;42;2020-03-31 00:00:00
209;28;2020-03-31 00:00:00
210;10;2020-03-31 00:00:00
301;24;2020-03-31 00:00:00
302;54;2020-03-31 00:00:00
303;19;2020-03-31 00:00:00
304;22;2020-03-31 00:00:00
305;170;2020-03-31 00:00:00
306;83;2020-03-31 00:00:00
307;49;2020-03-31 00:00:00
308;49;2020-03-31 00:00:00
309;6;2020-03-31 00:00:00
310;15;2020-03-31 00:00:00
311;14;2020-03-31 00:00:00
312;108;2020-03-31 00:00:00
313;93;2020-03-31 00:00:00
314;27;2020-03-31 00:00:00
315;90;2020-03-31 00:00:00
316;82;2020-03-31 00:00:00
317;107;2020-03-31 00:00:00
318;124;2020-03-31 00:00:00
319;163;2020-03-31 00:00:00
320;73;2020-03-31 00:00:00
321;106;2020-03-31 00:00:00
322;13;2020-03-31 00:00:00
323;25;2020-03-31 00:00:00
325;25;2020-03-31 00:00:00
401;204;2020-03-31 00:00:00
402;25;2020-03-31 00:00:00
403;51;2020-03-31 00:00:00
404;44;2020-03-31 00:00:00
405;30;2020-03-31 00:00:00
406;82;2020-03-31 00:00:00
407;52;2020-03-31 00:00:00
408;43;2020-03-31 00:00:00
409;32;2020-03-31 00:00:00
410;138;2020-03-31 00:00:00
411;221;2020-03-31 00:00:00
412;21;2020-03-31 00:00:00
413;103;2020-03-31 00:00:00
414;43;2020-03-31 00:00:00
415;110;2020-03-31 00:00:00
416;212;2020-03-31 00:00:00
417;86;2020-03-31 00:00:00
418;65;2020-03-31 00:00:00
501;108;2020-03-31 00:00:00
502;50;2020-03-31 00:00:00
503;140;2020-03-31 00:00:00
504;339;2020-03-31 00:00:00
505;15;2020-03-31 00:00:00
506;257;2020-03-31 00:00:00
601;246;2020-03-31 00:00:00
603;22;2020-03-31 00:00:00
606;90;2020-03-31 00:00:00
610;127;2020-03-31 00:00:00
611;19;2020-03-31 00:00:00
612;57;2020-03-31 00:00:00
614;2;2020-03-31 00:00:00
616;67;2020-03-31 00:00:00
617;82;2020-03-31 00:00:00
620;24;2020-03-31 00:00:00
621;39;2020-03-31 00:00:00
622;189;2020-03-31 00:00:00
623;37;2020-03-31 00:00:00
701;303;2020-03-31 00:00:00
702;172;2020-03-31 00:00:00
703;284;2020-03-31 00:00:00
704;221;2020-03-31 00:00:00
705;297;2020-03-31 00:00:00
706;617;2020-03-31 00:00:00
707;92;2020-03-31 00:00:00
708;35;2020-03-31 00:00:00
709;209;2020-03-31 00:00:00
801;192;2020-03-31 00:00:00
802;158;2020-03-31 00:00:00
803;104;2020-03-31 00:00:00
804;172;2020-03-31 00:00:00
