"bezirk";"freq";"date"
"Amstetten";189;2020-04-02
"Baden";92;2020-04-02
"Bludenz";204;2020-04-02
"Braunau am Inn";59;2020-04-02
"Bregenz";174;2020-04-02
"Bruck an der Leitha";52;2020-04-02
"Bruck-Mürzzuschlag";40;2020-04-02
"Deutschlandsberg";27;2020-04-02
"Dornbirn";118;2020-04-02
"Eferding";34;2020-04-02
"Eisenstadt(Stadt)";11;2020-04-02
"Eisenstadt-Umgebung";14;2020-04-02
"Feldkirch";178;2020-04-02
"Feldkirchen";7;2020-04-02
"Freistadt";90;2020-04-02
"Gänserndorf";50;2020-04-02
"Gmünd";6;2020-04-02
"Gmunden";55;2020-04-02
"Graz(Stadt)";281;2020-04-02
"Graz-Umgebung";106;2020-04-02
"Grieskirchen";51;2020-04-02
"Gröbming";28;2020-04-02
"Güssing";10;2020-04-02
"Hallein";55;2020-04-02
"Hartberg-Fürstenfeld";211;2020-04-02
"Hermagor";1;2020-04-02
"Hollabrunn";14;2020-04-02
"Horn";15;2020-04-02
"Imst";213;2020-04-02
"Innsbruck-Land";303;2020-04-02
"Innsbruck-Stadt";311;2020-04-02
"Jennersdorf";8;2020-04-02
"Kirchdorf an der Krems";35;2020-04-02
"Kitzbühel";259;2020-04-02
"Klagenfurt Land";35;2020-04-02
"Klagenfurt Stadt";59;2020-04-02
"Korneuburg";113;2020-04-02
"Krems an der Donau(Stadt)";24;2020-04-02
"Krems(Land)";101;2020-04-02
"Kufstein";330;2020-04-02
"Landeck";668;2020-04-02
"Leibnitz";143;2020-04-02
"Leoben";19;2020-04-02
"Lienz";103;2020-04-02
"Liezen";36;2020-04-02
"Lilienfeld";31;2020-04-02
"Linz(Stadt)";230;2020-04-02
"Linz-Land";165;2020-04-02
"Mattersburg";27;2020-04-02
"Melk";101;2020-04-02
"Mistelbach";86;2020-04-02
"Mödling";113;2020-04-02
"Murau";5;2020-04-02
"Murtal";29;2020-04-02
"Neunkirchen";136;2020-04-02
"Neusiedl am See";45;2020-04-02
"Oberpullendorf";15;2020-04-02
"Oberwart";68;2020-04-02
"Perg";233;2020-04-02
"Reutte";43;2020-04-02
"Ried im Innkreis";25;2020-04-02
"Rohrbach";116;2020-04-02
"Salzburg(Stadt)";113;2020-04-02
"Salzburg-Umgebung";155;2020-04-02
"Sankt Johann im Pongau";367;2020-04-02
"Sankt Pölten(Land)";186;2020-04-02
"Sankt Pölten(Stadt)";59;2020-04-02
"Sankt Veit an der Glan";34;2020-04-02
"Schärding";45;2020-04-02
"Scheibbs";87;2020-04-02
"Schwaz";223;2020-04-02
"Spittal an der Drau";30;2020-04-02
"Steyr(Stadt)";34;2020-04-02
"Steyr-Land";115;2020-04-02
"Südoststeiermark";38;2020-04-02
"Tamsweg";16;2020-04-02
"Tulln";115;2020-04-02
"Urfahr-Umgebung";237;2020-04-02
"Villach Land";38;2020-04-02
"Villach Stadt";14;2020-04-02
"Vöcklabruck";94;2020-04-02
"Voitsberg";75;2020-04-02
"Völkermarkt";44;2020-04-02
"Waidhofen an der Thaya";14;2020-04-02
"Waidhofen an der Ybbs(Stadt)";22;2020-04-02
"Weiz";87;2020-04-02
"Wels(Stadt)";54;2020-04-02
"Wels-Land";67;2020-04-02
"Wien(Stadt)";1547;2020-04-02
"Wiener Neustadt(Land)";28;2020-04-02
"Wiener Neustadt(Stadt)";29;2020-04-02
"Wolfsberg";31;2020-04-02
"Zell am See";287;2020-04-02
"Zwettl";26;2020-04-02
