"nuts2","freq","date"
1,203,2020-04-03 00:00:00
2,300,2020-04-03 00:00:00
3,1746,2020-04-03 00:00:00
4,1805,2020-04-03 00:00:00
5,1033,2020-04-03 00:00:00
6,1169,2020-04-03 00:00:00
7,2569,2020-04-03 00:00:00
8,697,2020-04-03 00:00:00
9,1607,2020-04-03 00:00:00
1,203,2020-04-03 01:00:00
2,300,2020-04-03 01:00:00
3,1746,2020-04-03 01:00:00
4,1805,2020-04-03 01:00:00
5,1033,2020-04-03 01:00:00
6,1169,2020-04-03 01:00:00
7,2569,2020-04-03 01:00:00
8,697,2020-04-03 01:00:00
9,1607,2020-04-03 01:00:00
1,203,2020-04-03 02:00:00
2,300,2020-04-03 02:00:00
3,1746,2020-04-03 02:00:00
4,1805,2020-04-03 02:00:00
5,1033,2020-04-03 02:00:00
6,1169,2020-04-03 02:00:00
7,2569,2020-04-03 02:00:00
8,697,2020-04-03 02:00:00
9,1607,2020-04-03 02:00:00
1,203,2020-04-03 03:00:00
2,300,2020-04-03 03:00:00
3,1746,2020-04-03 03:00:00
4,1805,2020-04-03 03:00:00
5,1033,2020-04-03 03:00:00
6,1169,2020-04-03 03:00:00
7,2569,2020-04-03 03:00:00
8,697,2020-04-03 03:00:00
9,1607,2020-04-03 03:00:00
1,203,2020-04-03 04:00:00
2,300,2020-04-03 04:00:00
3,1746,2020-04-03 04:00:00
4,1805,2020-04-03 04:00:00
5,1033,2020-04-03 04:00:00
6,1169,2020-04-03 04:00:00
7,2569,2020-04-03 04:00:00
8,697,2020-04-03 04:00:00
9,1607,2020-04-03 04:00:00
1,203,2020-04-03 05:00:00
2,300,2020-04-03 05:00:00
3,1746,2020-04-03 05:00:00
4,1805,2020-04-03 05:00:00
5,1033,2020-04-03 05:00:00
6,1169,2020-04-03 05:00:00
7,2569,2020-04-03 05:00:00
8,697,2020-04-03 05:00:00
9,1607,2020-04-03 05:00:00
1,203,2020-04-03 06:00:00
2,300,2020-04-03 06:00:00
3,1746,2020-04-03 06:00:00
4,1805,2020-04-03 06:00:00
5,1033,2020-04-03 06:00:00
6,1169,2020-04-03 06:00:00
7,2569,2020-04-03 06:00:00
8,697,2020-04-03 06:00:00
9,1607,2020-04-03 06:00:00
1,203,2020-04-03 07:00:00
2,299,2020-04-03 07:00:00
3,1746,2020-04-03 07:00:00
4,1805,2020-04-03 07:00:00
5,1033,2020-04-03 07:00:00
6,1169,2020-04-03 07:00:00
7,2568,2020-04-03 07:00:00
8,697,2020-04-03 07:00:00
9,1607,2020-04-03 07:00:00
1,203,2020-04-03 08:00:00
2,300,2020-04-03 08:00:00
3,1775,2020-04-03 08:00:00
4,1806,2020-04-03 08:00:00
5,1033,2020-04-03 08:00:00
6,1169,2020-04-03 08:00:00
7,2568,2020-04-03 08:00:00
8,697,2020-04-03 08:00:00
9,1620,2020-04-03 08:00:00
1,204,2020-04-03 09:00:00
2,300,2020-04-03 09:00:00
3,1790,2020-04-03 09:00:00
4,1810,2020-04-03 09:00:00
5,1033,2020-04-03 09:00:00
6,1169,2020-04-03 09:00:00
7,2575,2020-04-03 09:00:00
8,697,2020-04-03 09:00:00
9,1621,2020-04-03 09:00:00
1,206,2020-04-03 10:00:00
2,301,2020-04-03 10:00:00
3,1795,2020-04-03 10:00:00
4,1810,2020-04-03 10:00:00
5,1033,2020-04-03 10:00:00
6,1179,2020-04-03 10:00:00
7,2580,2020-04-03 10:00:00
8,697,2020-04-03 10:00:00
9,1623,2020-04-03 10:00:00
1,206,2020-04-03 11:00:00
2,301,2020-04-03 11:00:00
3,1807,2020-04-03 11:00:00
4,1810,2020-04-03 11:00:00
5,1033,2020-04-03 11:00:00
6,1179,2020-04-03 11:00:00
7,2580,2020-04-03 11:00:00
8,697,2020-04-03 11:00:00
9,1625,2020-04-03 11:00:00
1,206,2020-04-03 12:00:00
2,301,2020-04-03 12:00:00
3,1806,2020-04-03 12:00:00
4,1816,2020-04-03 12:00:00
5,1033,2020-04-03 12:00:00
6,1179,2020-04-03 12:00:00
7,2587,2020-04-03 12:00:00
8,697,2020-04-03 12:00:00
9,1626,2020-04-03 12:00:00
1,206,2020-04-03 13:00:00
2,302,2020-04-03 13:00:00
3,1808,2020-04-03 13:00:00
4,1827,2020-04-03 13:00:00
5,1033,2020-04-03 13:00:00
6,1193,2020-04-03 13:00:00
7,2589,2020-04-03 13:00:00
8,708,2020-04-03 13:00:00
9,1635,2020-04-03 13:00:00
1,206,2020-04-03 14:00:00
2,304,2020-04-03 14:00:00
3,1828,2020-04-03 14:00:00
4,1831,2020-04-03 14:00:00
5,1033,2020-04-03 14:00:00
6,1204,2020-04-03 14:00:00
7,2591,2020-04-03 14:00:00
8,708,2020-04-03 14:00:00
