"bundesland";"freq";"date"
"W";1688;2020-04-05 00:00:00
"Vbg";722;2020-04-05 00:00:00
"T";2690;2020-04-05 00:00:00
"Stmk";1285;2020-04-05 00:00:00
"Sbg";1068;2020-04-05 00:00:00
"OÖ";1916;2020-04-05 00:00:00
"NÖ";1863;2020-04-05 00:00:00
"Ktn";310;2020-04-05 00:00:00
"Bgld";224;2020-04-05 00:00:00
"W";1688;2020-04-05 01:00:00
"Vbg";722;2020-04-05 01:00:00
"T";2690;2020-04-05 01:00:00
"Stmk";1285;2020-04-05 01:00:00
"Sbg";1068;2020-04-05 01:00:00
"OÖ";1916;2020-04-05 01:00:00
"NÖ";1863;2020-04-05 01:00:00
"Ktn";310;2020-04-05 01:00:00
"Bgld";224;2020-04-05 01:00:00
"W";1688;2020-04-05 02:00:00
"Vbg";722;2020-04-05 02:00:00
"T";2690;2020-04-05 02:00:00
"Stmk";1285;2020-04-05 02:00:00
"Sbg";1068;2020-04-05 02:00:00
"OÖ";1916;2020-04-05 02:00:00
"NÖ";1863;2020-04-05 02:00:00
"Ktn";310;2020-04-05 02:00:00
"Bgld";224;2020-04-05 02:00:00
"W";1688;2020-04-05 03:00:00
"Vbg";722;2020-04-05 03:00:00
"T";2690;2020-04-05 03:00:00
"Stmk";1285;2020-04-05 03:00:00
"Sbg";1068;2020-04-05 03:00:00
"OÖ";1916;2020-04-05 03:00:00
"NÖ";1863;2020-04-05 03:00:00
"Ktn";310;2020-04-05 03:00:00
"Bgld";224;2020-04-05 03:00:00
"W";1688;2020-04-05 04:00:00
"Vbg";722;2020-04-05 04:00:00
"T";2690;2020-04-05 04:00:00
"Stmk";1285;2020-04-05 04:00:00
"Sbg";1068;2020-04-05 04:00:00
"OÖ";1916;2020-04-05 04:00:00
"NÖ";1863;2020-04-05 04:00:00
"Ktn";310;2020-04-05 04:00:00
"Bgld";224;2020-04-05 04:00:00
"W";1688;2020-04-05 05:00:00
"Vbg";722;2020-04-05 05:00:00
"T";2690;2020-04-05 05:00:00
"Stmk";1285;2020-04-05 05:00:00
"Sbg";1068;2020-04-05 05:00:00
"OÖ";1916;2020-04-05 05:00:00
"NÖ";1863;2020-04-05 05:00:00
"Ktn";310;2020-04-05 05:00:00
"Bgld";224;2020-04-05 05:00:00
"W";1688;2020-04-05 06:00:00
"Vbg";722;2020-04-05 06:00:00
"T";2690;2020-04-05 06:00:00
"Stmk";1285;2020-04-05 06:00:00
"Sbg";1068;2020-04-05 06:00:00
"OÖ";1916;2020-04-05 06:00:00
"NÖ";1863;2020-04-05 06:00:00
"Ktn";310;2020-04-05 06:00:00
"Bgld";224;2020-04-05 06:00:00
"W";1688;2020-04-05 07:00:00
"Vbg";722;2020-04-05 07:00:00
"T";2690;2020-04-05 07:00:00
"Stmk";1285;2020-04-05 07:00:00
"Sbg";1068;2020-04-05 07:00:00
"OÖ";1916;2020-04-05 07:00:00
"NÖ";1863;2020-04-05 07:00:00
"Ktn";310;2020-04-05 07:00:00
"Bgld";224;2020-04-05 07:00:00
"W";1689;2020-04-05 08:00:00
"Vbg";722;2020-04-05 08:00:00
"T";2690;2020-04-05 08:00:00
"Stmk";1285;2020-04-05 08:00:00
"Sbg";1068;2020-04-05 08:00:00
"OÖ";1916;2020-04-05 08:00:00
"NÖ";1863;2020-04-05 08:00:00
"Ktn";310;2020-04-05 08:00:00
"Bgld";224;2020-04-05 08:00:00
"W";1689;2020-04-05 09:00:00
"Vbg";722;2020-04-05 09:00:00
"T";2693;2020-04-05 09:00:00
"Stmk";1285;2020-04-05 09:00:00
"Sbg";1068;2020-04-05 09:00:00
"OÖ";1916;2020-04-05 09:00:00
"NÖ";1863;2020-04-05 09:00:00
"Ktn";310;2020-04-05 09:00:00
"Bgld";224;2020-04-05 09:00:00
"W";1689;2020-04-05 10:00:00
"Vbg";732;2020-04-05 10:00:00
"T";2691;2020-04-05 10:00:00
"Stmk";1286;2020-04-05 10:00:00
"Sbg";1068;2020-04-05 10:00:00
"OÖ";1919;2020-04-05 10:00:00
"NÖ";1901;2020-04-05 10:00:00
"Ktn";311;2020-04-05 10:00:00
"Bgld";224;2020-04-05 10:00:00
"W";1691;2020-04-05 11:00:00
"Vbg";737;2020-04-05 11:00:00
"T";2693;2020-04-05 11:00:00
"Stmk";1286;2020-04-05 11:00:00
"Sbg";1068;2020-04-05 11:00:00
"OÖ";1920;2020-04-05 11:00:00
"NÖ";1901;2020-04-05 11:00:00
"Ktn";311;2020-04-05 11:00:00
"Bgld";224;2020-04-05 11:00:00
