"geschlecht";"freq";"date"
"männlich";51;2020-04-05 00:00:00
"weiblich";49;2020-04-05 00:00:00
"männlich";51;2020-04-05 01:00:00
"weiblich";49;2020-04-05 01:00:00
"männlich";51;2020-04-05 02:00:00
"weiblich";49;2020-04-05 02:00:00
"männlich";51;2020-04-05 03:00:00
"weiblich";49;2020-04-05 03:00:00
"männlich";51;2020-04-05 04:00:00
"weiblich";49;2020-04-05 04:00:00
"männlich";51;2020-04-05 05:00:00
"weiblich";49;2020-04-05 05:00:00
"männlich";51;2020-04-05 06:00:00
"weiblich";49;2020-04-05 06:00:00
"männlich";51;2020-04-05 07:00:00
"weiblich";49;2020-04-05 07:00:00
"männlich";51;2020-04-05 08:00:00
"weiblich";49;2020-04-05 08:00:00
"männlich";51;2020-04-05 09:00:00
"weiblich";49;2020-04-05 09:00:00
"männlich";51;2020-04-05 10:00:00
"weiblich";49;2020-04-05 10:00:00
"männlich";51;2020-04-05 11:00:00
"weiblich";49;2020-04-05 11:00:00
"männlich";51;2020-04-05 12:00:00
"weiblich";49;2020-04-05 12:00:00
"männlich";51;2020-04-05 13:00:00
"weiblich";49;2020-04-05 13:00:00
"männlich";51;2020-04-05 14:00:00
"weiblich";49;2020-04-05 14:00:00
"männlich";51;2020-04-05 15:00:00
"weiblich";49;2020-04-05 15:00:00
"männlich";51;2020-04-05 16:00:00
"weiblich";49;2020-04-05 16:00:00
"männlich";51;2020-04-05 17:00:00
"weiblich";49;2020-04-05 17:00:00
"männlich";51;2020-04-05 18:00:00
"weiblich";49;2020-04-05 18:00:00
