"bundesland","freq","date"
"W",1770,2020-04-07 00:00:00
"Vbg",760,2020-04-07 00:00:00
"T",2786,2020-04-07 00:00:00
"Stmk",1351,2020-04-07 00:00:00
"Sbg",1085,2020-04-07 00:00:00
"OÖ",1974,2020-04-07 00:00:00
"NÖ",2010,2020-04-07 00:00:00
"Ktn",329,2020-04-07 00:00:00
"Bgld",232,2020-04-07 00:00:00
"W",1770,2020-04-07 01:00:00
"Vbg",760,2020-04-07 01:00:00
"T",2786,2020-04-07 01:00:00
"Stmk",1351,2020-04-07 01:00:00
"Sbg",1085,2020-04-07 01:00:00
"OÖ",1974,2020-04-07 01:00:00
"NÖ",2010,2020-04-07 01:00:00
"Ktn",329,2020-04-07 01:00:00
"Bgld",232,2020-04-07 01:00:00
"W",1770,2020-04-07 02:00:00
"Vbg",760,2020-04-07 02:00:00
"T",2786,2020-04-07 02:00:00
"Stmk",1351,2020-04-07 02:00:00
"Sbg",1085,2020-04-07 02:00:00
"OÖ",1974,2020-04-07 02:00:00
"NÖ",2010,2020-04-07 02:00:00
"Ktn",329,2020-04-07 02:00:00
"Bgld",232,2020-04-07 02:00:00
"W",1770,2020-04-07 03:00:00
"Vbg",760,2020-04-07 03:00:00
"T",2786,2020-04-07 03:00:00
"Stmk",1351,2020-04-07 03:00:00
"Sbg",1085,2020-04-07 03:00:00
"OÖ",1974,2020-04-07 03:00:00
"NÖ",2010,2020-04-07 03:00:00
"Ktn",329,2020-04-07 03:00:00
"Bgld",232,2020-04-07 03:00:00
"W",1770,2020-04-07 03:59:59
"Vbg",760,2020-04-07 03:59:59
"T",2786,2020-04-07 03:59:59
"Stmk",1351,2020-04-07 03:59:59
"Sbg",1085,2020-04-07 03:59:59
"OÖ",1974,2020-04-07 03:59:59
"NÖ",2010,2020-04-07 03:59:59
"Ktn",329,2020-04-07 03:59:59
"Bgld",232,2020-04-07 03:59:59
"W",1770,2020-04-07 05:00:00
"Vbg",760,2020-04-07 05:00:00
"T",2786,2020-04-07 05:00:00
"Stmk",1351,2020-04-07 05:00:00
"Sbg",1085,2020-04-07 05:00:00
"OÖ",1974,2020-04-07 05:00:00
"NÖ",2010,2020-04-07 05:00:00
"Ktn",329,2020-04-07 05:00:00
"Bgld",232,2020-04-07 05:00:00
"W",1770,2020-04-07 06:00:00
"Vbg",760,2020-04-07 06:00:00
"T",2786,2020-04-07 06:00:00
"Stmk",1351,2020-04-07 06:00:00
"Sbg",1085,2020-04-07 06:00:00
"OÖ",1974,2020-04-07 06:00:00
"NÖ",2010,2020-04-07 06:00:00
"Ktn",329,2020-04-07 06:00:00
"Bgld",232,2020-04-07 06:00:00
