"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
12639;1100;243;115235;2020-04-08 00:00:00
12639;1100;243;115235;2020-04-08 01:00:00
12640;1100;243;115235;2020-04-08 02:00:00
12640;1100;243;115235;2020-04-08 03:00:00
12640;1100;243;115235;2020-04-08 04:00:00
12640;1100;243;115235;2020-04-08 05:00:00
12640;1100;243;115235;2020-04-08 06:00:00
12640;1100;243;115235;2020-04-08 07:00:00
12675;1100;243;115235;2020-04-08 08:00:00
12709;1100;243;115235;2020-04-08 09:00:00
12721;1100;243;115235;2020-04-08 10:00:00
12738;1096;267;120755;2020-04-08 12:00:00
12782;1096;267;120755;2020-04-08 13:00:00
12824;1096;267;120755;2020-04-08 14:00:00
12852;1096;267;120755;2020-04-08 15:00:00
12881;1096;267;120755;2020-04-08 16:00:00
12901;1096;267;120755;2020-04-08 17:00:00
12916;1096;267;120755;2020-04-08 18:00:00
12920;1096;267;120755;2020-04-08 19:00:00
12930;1096;267;120755;2020-04-08 20:00:00
12937;1096;267;120755;2020-04-08 21:00:00
