"altersgruppe","freq","date"
"<5",68,2020-04-11 00:00:00
"5-14",305,2020-04-11 00:00:00
"15-24",1273,2020-04-11 00:00:00
"25-34",1903,2020-04-11 00:00:00
"35-44",1916,2020-04-11 00:00:00
"45-54",2874,2020-04-11 00:00:00
"55-64",2288,2020-04-11 00:00:00
">64",2933,2020-04-11 00:00:00
"<5",68,2020-04-11 01:00:00
"5-14",305,2020-04-11 01:00:00
"15-24",1273,2020-04-11 01:00:00
"25-34",1903,2020-04-11 01:00:00
"35-44",1916,2020-04-11 01:00:00
"45-54",2874,2020-04-11 01:00:00
"55-64",2287,2020-04-11 01:00:00
">64",2934,2020-04-11 01:00:00
