"altersgruppe";"freq";"date"
"<5";6;2020-03-21 19:45:00
"5-14";35;2020-03-21 19:45:00
"15-24";298;2020-03-21 19:45:00
"25-34";497;2020-03-21 19:45:00
"35-44";465;2020-03-21 19:45:00
"45-54";650;2020-03-21 19:45:00
"55-64";446;2020-03-21 19:45:00
">64";487;2020-03-21 19:45:00
"<5";6;2020-03-21 20:00:00
"5-14";35;2020-03-21 20:00:00
"15-24";300;2020-03-21 20:00:00
"25-34";497;2020-03-21 20:00:00
"35-44";468;2020-03-21 20:00:00
"45-54";656;2020-03-21 20:00:00
"55-64";446;2020-03-21 20:00:00
">64";491;2020-03-21 20:00:00
"<5";6;2020-03-21 20:15:00
"5-14";35;2020-03-21 20:15:00
"15-24";302;2020-03-21 20:15:00
"25-34";500;2020-03-21 20:15:00
"35-44";469;2020-03-21 20:15:00
"45-54";663;2020-03-21 20:15:00
"55-64";449;2020-03-21 20:15:00
">64";493;2020-03-21 20:15:00
"<5";6;2020-03-21 20:30:00
"5-14";35;2020-03-21 20:30:00
"15-24";302;2020-03-21 20:30:00
"25-34";501;2020-03-21 20:30:00
"35-44";469;2020-03-21 20:30:00
"45-54";668;2020-03-21 20:30:00
"55-64";450;2020-03-21 20:30:00
">64";496;2020-03-21 20:30:00
"<5";6;2020-03-21 20:45:00
"5-14";35;2020-03-21 20:45:00
"15-24";303;2020-03-21 20:45:00
"25-34";503;2020-03-21 20:45:00
"35-44";473;2020-03-21 20:45:00
"45-54";673;2020-03-21 20:45:00
"55-64";453;2020-03-21 20:45:00
">64";502;2020-03-21 20:45:00
"<5";6;2020-03-21 21:00:00
"5-14";35;2020-03-21 21:00:00
"15-24";303;2020-03-21 21:00:00
"25-34";504;2020-03-21 21:00:00
"35-44";474;2020-03-21 21:00:00
"45-54";673;2020-03-21 21:00:00
"55-64";456;2020-03-21 21:00:00
">64";502;2020-03-21 21:00:00
"<5";6;2020-03-21 21:15:00
"5-14";35;2020-03-21 21:15:00
"15-24";303;2020-03-21 21:15:00
"25-34";504;2020-03-21 21:15:00
"35-44";474;2020-03-21 21:15:00
"45-54";673;2020-03-21 21:15:00
"55-64";456;2020-03-21 21:15:00
">64";502;2020-03-21 21:15:00
"<5";6;2020-03-21 21:30:00
"5-14";35;2020-03-21 21:30:00
"15-24";303;2020-03-21 21:30:00
"25-34";505;2020-03-21 21:30:00
