"geschlecht";"freq";"date"
"männlich";54;2020-03-26 17:22:58
"weiblich";46;2020-03-26 17:22:58
"männlich";54;2020-03-26 18:00:00
"weiblich";46;2020-03-26 18:00:00
"männlich";54;2020-03-26 19:00:00
"weiblich";46;2020-03-26 19:00:00
"männlich";53;2020-03-26 20:00:00
"weiblich";47;2020-03-26 20:00:00
"männlich";53;2020-03-26 21:00:00
"weiblich";47;2020-03-26 21:00:00
"männlich";53;2020-03-26 22:00:00
"weiblich";47;2020-03-26 22:00:00
"männlich";53;2020-03-26 23:00:00
"weiblich";47;2020-03-26 23:00:00
