"bkz";"freq";"date"
101;15;"20200412_020000"
103;22;"20200412_020000"
104;21;"20200412_020000"
105;8;"20200412_020000"
106;34;"20200412_020000"
107;50;"20200412_020000"
108;18;"20200412_020000"
109;91;"20200412_020000"
201;83;"20200412_020000"
202;19;"20200412_020000"
203;5;"20200412_020000"
204;38;"20200412_020000"
205;48;"20200412_020000"
206;36;"20200412_020000"
207;47;"20200412_020000"
208;51;"20200412_020000"
209;43;"20200412_020000"
210;12;"20200412_020000"
301;32;"20200412_020000"
302;77;"20200412_020000"
303;22;"20200412_020000"
304;36;"20200412_020000"
305;259;"20200412_020000"
306;118;"20200412_020000"
307;68;"20200412_020000"
308;71;"20200412_020000"
309;10;"20200412_020000"
310;28;"20200412_020000"
311;37;"20200412_020000"
312;142;"20200412_020000"
313;129;"20200412_020000"
314;40;"20200412_020000"
315;151;"20200412_020000"
316;114;"20200412_020000"
317;149;"20200412_020000"
318;168;"20200412_020000"
319;245;"20200412_020000"
320;99;"20200412_020000"
321;139;"20200412_020000"
322;33;"20200412_020000"
323;54;"20200412_020000"
325;63;"20200412_020000"
401;291;"20200412_020000"
402;52;"20200412_020000"
403;57;"20200412_020000"
404;107;"20200412_020000"
405;49;"20200412_020000"
406;102;"20200412_020000"
407;61;"20200412_020000"
408;66;"20200412_020000"
409;38;"20200412_020000"
410;196;"20200412_020000"
411;248;"20200412_020000"
412;41;"20200412_020000"
413;138;"20200412_020000"
414;53;"20200412_020000"
415;164;"20200412_020000"
416;275;"20200412_020000"
417;104;"20200412_020000"
418;76;"20200412_020000"
501;137;"20200412_020000"
502;65;"20200412_020000"
503;179;"20200412_020000"
504;425;"20200412_020000"
505;22;"20200412_020000"
506;329;"20200412_020000"
601;410;"20200412_020000"
603;40;"20200412_020000"
606;166;"20200412_020000"
610;168;"20200412_020000"
611;23;"20200412_020000"
612;79;"20200412_020000"
614;5;"20200412_020000"
616;94;"20200412_020000"
617;125;"20200412_020000"
620;31;"20200412_020000"
621;49;"20200412_020000"
622;287;"20200412_020000"
623;47;"20200412_020000"
701;381;"20200412_020000"
702;269;"20200412_020000"
703;369;"20200412_020000"
704;333;"20200412_020000"
705;470;"20200412_020000"
706;932;"20200412_020000"
707;131;"20200412_020000"
708;52;"20200412_020000"
709;323;"20200412_020000"
801;240;"20200412_020000"
802;248;"20200412_020000"
803;136;"20200412_020000"
804;202;"20200412_020000"
900;1996;"20200412_020000"
