"bkz","freq","date"
101,15,"20200414_140000"
103,22,"20200414_140000"
104,21,"20200414_140000"
105,9,"20200414_140000"
106,34,"20200414_140000"
107,50,"20200414_140000"
108,19,"20200414_140000"
109,101,"20200414_140000"
201,85,"20200414_140000"
202,20,"20200414_140000"
203,5,"20200414_140000"
204,39,"20200414_140000"
205,48,"20200414_140000"
206,37,"20200414_140000"
207,47,"20200414_140000"
208,52,"20200414_140000"
209,43,"20200414_140000"
210,10,"20200414_140000"
301,33,"20200414_140000"
302,77,"20200414_140000"
303,22,"20200414_140000"
304,38,"20200414_140000"
305,273,"20200414_140000"
306,123,"20200414_140000"
307,73,"20200414_140000"
308,72,"20200414_140000"
309,12,"20200414_140000"
310,28,"20200414_140000"
311,39,"20200414_140000"
312,146,"20200414_140000"
313,133,"20200414_140000"
314,41,"20200414_140000"
315,155,"20200414_140000"
316,114,"20200414_140000"
317,154,"20200414_140000"
318,171,"20200414_140000"
319,245,"20200414_140000"
320,100,"20200414_140000"
321,145,"20200414_140000"
322,62,"20200414_140000"
323,60,"20200414_140000"
325,66,"20200414_140000"
401,295,"20200414_140000"
402,53,"20200414_140000"
403,57,"20200414_140000"
404,111,"20200414_140000"
405,50,"20200414_140000"
406,103,"20200414_140000"
407,62,"20200414_140000"
408,69,"20200414_140000"
409,38,"20200414_140000"
410,195,"20200414_140000"
411,249,"20200414_140000"
412,42,"20200414_140000"
413,140,"20200414_140000"
414,54,"20200414_140000"
415,167,"20200414_140000"
416,275,"20200414_140000"
417,104,"20200414_140000"
418,76,"20200414_140000"
501,142,"20200414_140000"
502,65,"20200414_140000"
503,182,"20200414_140000"
504,430,"20200414_140000"
505,22,"20200414_140000"
506,332,"20200414_140000"
601,430,"20200414_140000"
603,44,"20200414_140000"
606,176,"20200414_140000"
610,170,"20200414_140000"
611,23,"20200414_140000"
612,79,"20200414_140000"
614,5,"20200414_140000"
616,95,"20200414_140000"
617,148,"20200414_140000"
620,31,"20200414_140000"
621,51,"20200414_140000"
622,289,"20200414_140000"
623,47,"20200414_140000"
701,381,"20200414_140000"
702,274,"20200414_140000"
703,372,"20200414_140000"
704,342,"20200414_140000"
705,482,"20200414_140000"
706,949,"20200414_140000"
707,136,"20200414_140000"
708,55,"20200414_140000"
709,332,"20200414_140000"
801,241,"20200414_140000"
802,250,"20200414_140000"
803,138,"20200414_140000"
804,203,"20200414_140000"
900,2051,"20200414_140000"
