"label";"code"
"Eisenstadt(Stadt)";101
"Rust(Stadt)";102
"Eisenstadt-Umgebung";103
"Güssing";104
"Jennersdorf";105
"Mattersburg";106
"Neusiedl am See";107
"Oberpullendorf";108
"Oberwart";109
"Klagenfurt Stadt";201
"Villach Stadt";202
"Hermagor";203
"Klagenfurt Land";204
"Sankt Veit an der Glan";205
"Spittal an der Drau";206
"Villach Land";207
"Völkermarkt";208
"Wolfsberg";209
"Feldkirchen";210
"Krems an der Donau(Stadt)";301
"Sankt Pölten(Stadt)";302
"Waidhofen an der Ybbs(Stadt)";303
"Wiener Neustadt(Stadt)";304
"Amstetten";305
"Baden";306
"Bruck an der Leitha";307
"Gänserndorf";308
"Gmünd";309
"Hollabrunn";310
"Horn";311
"Korneuburg";312
"Krems(Land)";313
"Lilienfeld";314
"Melk";315
"Mistelbach";316
"Mödling";317
"Neunkirchen";318
"Sankt Pölten(Land)";319
"Scheibbs";320
"Tulln";321
"Waidhofen an der Thaya";322
"Wiener Neustadt(Land)";323
"Zwettl";325
"Linz(Stadt)";401
"Steyr(Stadt)";402
"Wels(Stadt)";403
"Braunau am Inn";404
"Eferding";405
"Freistadt";406
"Gmunden";407
"Grieskirchen";408
"Kirchdorf an der Krems";409
"Linz-Land";410
"Perg";411
"Ried im Innkreis";412
"Rohrbach";413
"Schärding";414
"Steyr-Land";415
"Urfahr-Umgebung";416
"Vöcklabruck";417
"Wels-Land";418
"Salzburg(Stadt)";501
"Hallein";502
"Salzburg-Umgebung";503
"Sankt Johann im Pongau";504
"Tamsweg";505
"Zell am See";506
"Graz(Stadt)";601
"Deutschlandsberg";603
"Graz-Umgebung";606
"Leibnitz";610
"Leoben";611
"Liezen";612
"Murau";614
"Voitsberg";616
"Weiz";617
"Murtal";620
"Bruck-Mürzzuschlag";621
"Hartberg-Fürstenfeld";622
"Südoststeiermark";623
"Innsbruck-Stadt";701
"Imst";702
"Innsbruck-Land";703
"Kitzbühel";704
"Kufstein";705
"Landeck";706
"Lienz";707
"Reutte";708
"Schwaz";709
"Bludenz";801
"Bregenz";802
"Dornbirn";803
"Feldkirch";804
"Wien(Stadt)";900
"Wien  1.";901
"Wien  2.";902
"Wien  3.";903
"Wien  4.";904
"Wien  5.";905
"Wien  6.";906
"Wien  7.";907
"Wien  8.";908
"Wien  9.";909
"Wien 10.";910
"Wien 11.";911
"Wien 12.";912
"Wien 13.";913
"Wien 14.";914
"Wien 15.";915
"Wien 16.";916
"Wien 17.";917
"Wien 18.";918
"Wien 19.";919
"Wien 20.";920
"Wien 21.";921
"Wien 22.";922
"Wien 23.";923
