"date";"altersgruppe";"freq"
"22.03";"<5";7
"22.03";"5-14";44
"22.03";"15-24";329
"22.03";"25-34";549
"22.03";"35-44";520
"22.03";"45-54";742
"22.03";"55-64";516
"22.03";">64";562
"23.03";"<5";9
"23.03";"5-14";68
"23.03";"15-24";382
"23.03";"25-34";654
"23.03";"35-44";610
"23.03";"45-54";873
"23.03";"55-64";651
"23.03";">64";696
"24.03";"<5";15
"24.03";"5-14";76
"24.03";"15-24";465
"24.03";"25-34";808
"24.03";"35-44";748
"24.03";"45-54";1106
"24.03";"55-64";813
"24.03";">64";895
"25.03";"<5";16
"25.03";"5-14";83
"25.03";"15-24";514
"25.03";"25-34";895
"25.03";"35-44";857
"25.03";"45-54";1219
"25.03";"55-64";958
"25.03";">64";1046
"26.03";"<5";21
"26.03";"5-14";124
"26.03";"15-24";620
"26.03";"25-34";1037
"26.03";"35-44";1007
"26.03";"45-54";1430
"26.03";"55-64";1156
"26.03";">64";1277
"27.03";"<5";27
"27.03";"5-14";158
"27.03";"15-24";681
"27.03";"25-34";1129
"27.03";"35-44";1117
"27.03";"45-54";1600
"27.03";"55-64";1304
"27.03";">64";1425
"28.03";"<5";32
"28.03";"5-14";171
"28.03";"15-24";727
"28.03";"25-34";1206
"28.03";"35-44";1192
"28.03";"45-54";1741
"28.03";"55-64";1409
"28.03";">64";1552
"29.03";"<5";37
"29.03";"5-14";182
"29.03";"15-24";774
"29.03";"25-34";1276
"29.03";"35-44";1270
"29.03";"45-54";1843
"29.03";"55-64";1492
"29.03";">64";1662
"30.03";"<5";40
"30.03";"5-14";198
"30.03";"15-24";850
"30.03";"25-34";1378
"30.03";"35-44";1383
"30.03";"45-54";2010
"30.03";"55-64";1647
"30.03";">64";1871
"31.03";"<5";41
"31.03";"5-14";213
"31.03";"15-24";917
"31.03";"25-34";1471
"31.03";"35-44";1464
"31.03";"45-54";2123
"31.03";"55-64";1727
"31.03";">64";2018
"01.04";"<5";43
"01.04";"5-14";226
"01.04";"15-24";966
"01.04";"25-34";1525
"01.04";"35-44";1539
"01.04";"45-54";2222
"01.04";"55-64";1815
"01.04";">64";2146
"02.04";"<5";46
"02.04";"5-14";247
"02.04";"15-24";1024
"02.04";"25-34";1571
"02.04";"35-44";1604
"02.04";"45-54";2336
"02.04";"55-64";1897
"02.04";">64";2242
"03.04";"<5";50
"03.04";"5-14";258
"03.04";"15-24";1058
"03.04";"25-34";1630
"03.04";"35-44";1659
"03.04";"45-54";2428
"03.04";"55-64";1959
"03.04";">64";2341
"04.04";"<5";53
"04.04";"5-14";263
"04.04";"15-24";1088
"04.04";"25-34";1674
"04.04";"35-44";1694
"04.04";"45-54";2490
"04.04";"55-64";1989
"04.04";">64";2414
"05.04";"<5";54
"05.04";"5-14";275
"05.04";"15-24";1103
"05.04";"25-34";1713
"05.04";"35-44";1728
"05.04";"45-54";2539
"05.04";"55-64";2029
"05.04";">64";2466
"06.04";"<5";54
"06.04";"5-14";282
"06.04";"15-24";1124
"06.04";"25-34";1750
"06.04";"35-44";1760
"06.04";"45-54";2594
"06.04";"55-64";2080
"06.04";">64";2562
"07.04";"<5";56
"07.04";"5-14";286
"07.04";"15-24";1168
"07.04";"25-34";1781
"07.04";"35-44";1794
"07.04";"45-54";2664
"07.04";"55-64";2125
"07.04";">64";2645
"08.04";"<5";59
"08.04";"5-14";293
"08.04";"15-24";1195
"08.04";"25-34";1813
"08.04";"35-44";1832
"08.04";"45-54";2729
"08.04";"55-64";2180
"08.04";">64";2751
"09.04";"<5";65
"09.04";"5-14";294
"09.04";"15-24";1219
"09.04";"25-34";1854
"09.04";"35-44";1867
"09.04";"45-54";2797
"09.04";"55-64";2219
"09.04";">64";2823
"10.04";"<5";68
"10.04";"5-14";304
"10.04";"15-24";1269
"10.04";"25-34";1893
"10.04";"35-44";1910
"10.04";"45-54";2863
"10.04";"55-64";2276
"10.04";">64";2909
