"nuts2";"hospitalisiert";"intensivstation";"nr_tests";"date"
1;5;2;NA;2020-03-26 07:00:00
2;12;9;NA;2020-03-26 07:00:00
3;81;21;NA;2020-03-26 07:00:00
4;46;5;NA;2020-03-26 07:00:00
5;23;6;NA;2020-03-26 07:00:00
6;151;19;NA;2020-03-26 07:00:00
7;110;15;NA;2020-03-26 07:00:00
8;23;7;NA;2020-03-26 07:00:00
9;96;12;NA;2020-03-26 07:00:00
1;5;2;NA;2020-03-27 08:00:00
2;24;7;NA;2020-03-27 08:00:00
3;137;21;NA;2020-03-27 08:00:00
4;63;8;NA;2020-03-27 08:00:00
5;40;5;NA;2020-03-27 08:00:00
6;164;19;NA;2020-03-27 08:00:00
7;122;26;NA;2020-03-27 08:00:00
8;29;10;NA;2020-03-27 08:00:00
9;118;12;NA;2020-03-27 08:00:00
1;7;4;NA;2020-03-27 09:30:00
2;14;8;NA;2020-03-27 09:30:00
3;109;18;NA;2020-03-27 09:30:00
4;72;10;NA;2020-03-27 09:30:00
5;38;10;NA;2020-03-27 09:30:00
6;163;16;NA;2020-03-27 09:30:00
7;128;38;NA;2020-03-27 09:30:00
8;26;10;NA;2020-03-27 09:30:00
9;115;14;NA;2020-03-27 09:30:00
1;9;4;42750;2020-03-28 08:00:00
2;22;8;42750;2020-03-28 08:00:00
3;127;18;42750;2020-03-28 08:00:00
4;82;10;42750;2020-03-28 08:00:00
5;48;10;42750;2020-03-28 08:00:00
6;125;23;42750;2020-03-28 08:00:00
7;166;38;42750;2020-03-28 08:00:00
8;36;10;42750;2020-03-28 08:00:00
9;129;14;42750;2020-03-28 08:00:00
1;10;4;46441;2020-03-29 09:30:00
2;22;9;46441;2020-03-29 09:30:00
3;160;26;46441;2020-03-29 09:30:00
4;138;22;46441;2020-03-29 09:30:00
5;53;12;46441;2020-03-29 09:30:00
6;142;24;46441;2020-03-29 09:30:00
7;185;42;46441;2020-03-29 09:30:00
8;45;13;46441;2020-03-29 09:30:00
9;176;35;46441;2020-03-29 09:30:00
1;10;4;49455;2020-03-30 09:30:00
2;26;10;49455;2020-03-30 09:30:00
3;167;26;49455;2020-03-30 09:30:00
4;156;23;49455;2020-03-30 09:30:00
5;58;13;49455;2020-03-30 09:30:00
6;147;19;49455;2020-03-30 09:30:00
